phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
9194164,https://xvltszpuxkgmpglq.net/,http://www.phishtank.com/phish_detail.php?phish_id=9194164,2025-08-26T02:00:12+00:00,yes,2025-08-26T02:03:16+00:00,yes,Other
9194158,http://allegro.pl-kategoria172841267195876124.shop,http://www.phishtank.com/phish_detail.php?phish_id=9194158,2025-08-26T01:49:23+00:00,yes,2025-08-26T02:03:16+00:00,yes,Allegro
9194157,http://allegrolokalnie.pl-oferta74823.pl,http://www.phishtank.com/phish_detail.php?phish_id=9194157,2025-08-26T01:49:11+00:00,yes,2025-08-26T02:03:16+00:00,yes,Allegro
9194154,http://allegro.pl-ofertaolxid811298011382.cfd/,http://www.phishtank.com/phish_detail.php?phish_id=9194154,2025-08-26T01:34:05+00:00,yes,2025-08-26T01:42:34+00:00,yes,Allegro
9194153,http://allegro.pl-oferta396962.icu,http://www.phishtank.com/phish_detail.php?phish_id=9194153,2025-08-26T01:31:05+00:00,yes,2025-08-26T01:32:19+00:00,yes,Allegro
9194139,https://1nwb9oc6.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194139,2025-08-26T00:22:25+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194138,https://r2btzv.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194138,2025-08-26T00:22:15+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194137,https://4xvi6zi7.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194137,2025-08-26T00:22:00+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194136,https://110tsj.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194136,2025-08-26T00:21:59+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194135,https://8s02ss.top/DyIBDPO9HV/login&amp;getFlg=in,http://www.phishtank.com/phish_detail.php?phish_id=9194135,2025-08-26T00:21:55+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194134,https://zl2ozf.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194134,2025-08-26T00:21:52+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194132,https://8mcs6ol3.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194132,2025-08-26T00:21:38+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194131,https://4kju9vt2.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194131,2025-08-26T00:21:36+00:00,yes,2025-08-26T00:32:20+00:00,yes,Other
9194128,https://97d0qw.top/DyIBDPO9HV/login&amp;getFlg=in,http://www.phishtank.com/phish_detail.php?phish_id=9194128,2025-08-26T00:07:36+00:00,yes,2025-08-26T00:12:11+00:00,yes,Other
9194127,https://kbb5jx.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194127,2025-08-26T00:07:25+00:00,yes,2025-08-26T00:12:11+00:00,yes,Other
9194124,https://y5bhc6.top/DyIBDPO9HV/login&amp;getFlg=in/,http://www.phishtank.com/phish_detail.php?phish_id=9194124,2025-08-26T00:06:45+00:00,yes,2025-08-26T00:12:11+00:00,yes,Other
9194123,https://m-sbisec.szxfhg.com/ETGate/,http://www.phishtank.com/phish_detail.php?phish_id=9194123,2025-08-26T00:06:35+00:00,yes,2025-08-26T00:12:11+00:00,yes,Other
9194121,http://fedstayaidon.com/online/,http://www.phishtank.com/phish_detail.php?phish_id=9194121,2025-08-25T23:47:43+00:00,yes,2025-08-25T23:52:18+00:00,yes,Other
